",""CS"",""res"",""nres"",""trial"",""rt"",""hrv"",""ID"""
"130,""CS2"",""R1"",5,""21"",300,628,""02mi"""
"132,""CS2"",""R1"",4,""22"",834,603,""02mi"""
"134,""CS2"",""R1"",4,""23"",829,614,""02mi"""
"140,""CS2"",""R1"",4,""24"",970,620,""02mi"""
"145,""CS2"",""R1"",4,""25"",763,1004,""02mi"""
"149,""CS2"",""R1"",4,""26"",708,607,""02mi"""
"159,""CS2"",""R1"",4,""27"",695,664,""02mi"""
"172,""CS2"",""R1"",4,""28"",852,614,""02mi"""
"177,""CS2"",""R2"",1,""29"",701,620,""02mi"""
"179,""CS2"",""R1"",4,""30"",803,599,""02mi"""
"182,""CS3"",""R1"",4,""1"",947,576,""02mi"""
"6,""CS3"",""R1"",5,""2"",310,603,""02mi"""
"11,""CS3"",""R1"",5,""3"",301,629,""02mi"""
"15,""CS3"",""R1"",4,""4"",858,724,""02mi"""
"16,""CS3"",""R2"",4,""5"",1027,623,""02mi"""
"18,""CS3"",""R1"",4,""6"",691,626,""02mi"""
"25,""CS3"",""R2"",4,""7"",842,613,""02mi"""
"26,""CS3"",""R2"",4,""8"",765,637,""02mi"""
"28,""CS3"",""R1"",3,""9"",1410,592,""02mi"""
"30,""CS3"",""R1"",4,""10"",773,607,""02mi"""
"33,""CS3"",""R2"",4,""11"",782,642,""02mi"""
"35,""CS3"",""R1"",4,""12"",729,632,""02mi"""
"36,""CS3"",""R2"",4,""13"",930,629.5,""02mi"""
"37,""CS3"",""R2"",4,""14"",889,604,""02mi"""
"39,""CS3"",""R1"",4,""15"",712,590,""02mi"""
"40,""CS3"",""R2"",4,""16"",933,604,""02mi"""
"47,""CS3"",""R2"",4,""17"",838,590,""02mi"""
"50,""CS3"",""R1"",4,""18"",795,NA,""02mi"""
"52,""CS3"",""R2"",3,""19"",1262,600,""02mi"""
"55,""CS3"",""R1"",3,""20"",1223,634,""02mi"""
"65,""CS3"",""R2"",3,""21"",1259,613,""02mi"""
"68,""CS3"",""R1"",3,""22"",1130,617,""02mi"""
"72,""CS3"",""R2"",4,""23"",1065,611,""02mi"""
"75,""CS3"",""R1"",4,""24"",922,601,""02mi"""
"78,""CS3"",""R2"",4,""25"",1011,717,""02mi"""
"79,""CS3"",""R2"",3,""26"",1613,603,""02mi"""
"80,""CS3"",""R2"",3,""27"",982,591,""02mi"""
"81,""CS3"",""R2"",4,""28"",1048,606,""02mi"""
"83,""CS3"",""R1"",3,""29"",1268,592,""02mi"""
"85,""CS3"",""R1"",4,""30"",711,607,""02mi"""
"90,""CS3"",""R2"",4,""31"",757,595,""02mi"""
"97,""CS3"",""R1"",4,""32"",739,603,""02mi"""
"100,""CS3"",""R1"",3,""33"",1294,740,""02mi"""
"101,""CS3"",""R2"",4,""34"",678,631,""02mi"""
"103,""CS3"",""R1"",4,""35"",575,628,""02mi"""
"104,""CS3"",""R2"",4,""36"",826,623,""02mi"""
"105,""CS3"",""R2"",4,""37"",816,609,""02mi"""
"107,""CS3"",""R1"",5,""38"",310,583,""02mi"""
"111,""CS3"",""R2"",4,""39"",925,602,""02mi"""
"117,""CS3"",""R1"",4,""40"",722,601,""02mi"""
"127,""CS3"",""R1"",5,""41"",305,617,""02mi"""
"128,""CS3"",""R2"",4,""42"",950,600,""02mi"""
"131,""CS3"",""R2"",5,""43"",309,630,""02mi"""
"133,""CS3"",""R2"",4,""44"",784,595,""02mi"""
