",""CS"",""res"",""nres"",""trial"",""rt"",""hrv"",""ID"""
"1840,""CS3"",""R1"",8,""2"",648,704,""12ga"""
"2114,""CS3"",""R2"",8,""3"",670,656,""12ga"""
"2212,""CS3"",""R1"",9,""4"",604,632,""12ga"""
"2410,""CS3"",""R1"",9,""5"",652,828,""12ga"""
"2610,""CS3"",""R2"",10,""6"",588,610,""12ga"""
"2710,""CS3"",""R1"",10,""7"",633,660,""12ga"""
"2810,""CS3"",""R2"",10,""8"",632,629,""12ga"""
"3211,""CS3"",""R2"",10,""9"",661,603,""12ga"""
"3910,""CS3"",""R1"",10,""10"",612,616,""12ga"""
"4410,""CS3"",""R1"",10,""11"",604,633.5,""12ga"""
"5410,""CS3"",""R1"",10,""12"",585,624,""12ga"""
"5610,""CS3"",""R1"",10,""13"",718,672,""12ga"""
"5710,""CS3"",""R2"",10,""14"",757,672,""12ga"""
"649,""CS3"",""R1"",9,""15"",629,607,""12ga"""
"6610,""CS3"",""R1"",10,""16"",620,597,""12ga"""
"6710,""CS3"",""R1"",9,""17"",617,600,""12ga"""
"7410,""CS3"",""R1"",9,""18"",711,640,""12ga"""
"7710,""CS3"",""R1"",10,""19"",306,617,""12ga"""
"7810,""CS3"",""R2"",9,""20"",738,659.5,""12ga"""
"8114,""CS3"",""R1"",10,""21"",640,664,""12ga"""
"8810,""CS3"",""R1"",9,""22"",623,672,""12ga"""
"8910,""CS3"",""R1"",9,""23"",600,656.5,""12ga"""
"9114,""CS3"",""R1"",9,""24"",620,666.5,""12ga"""
"9510,""CS3"",""R2"",10,""25"",669,685,""12ga"""
"9810,""CS3"",""R1"",9,""26"",651,635,""12ga"""
"10212,""CS3"",""R1"",9,""27"",775,615,""12ga"""
"10510,""CS3"",""R2"",8,""28"",670,580,""12ga"""
"10810,""CS3"",""R1"",8,""29"",1042,632,""12ga"""
"11014,""CS3"",""R1"",9,""30"",803,632,""12ga"""
"12212,""CS3"",""R2"",9,""31"",799,624,""12ga"""
"12710,""CS3"",""R1"",10,""32"",587,581,""12ga"""
"13311,""CS3"",""R1"",10,""33"",533,585,""12ga"""
"13410,""CS3"",""R1"",10,""34"",656,586,""12ga"""
"13910,""CS3"",""R1"",10,""35"",580,590,""12ga"""
"14610,""CS3"",""R1"",9,""36"",703,880.5,""12ga"""
"15211,""CS3"",""R1"",9,""37"",563,620.5,""12ga"""
"1569,""CS3"",""R1"",10,""38"",572,612,""12ga"""
"15810,""CS3"",""R1"",10,""39"",613,599,""12ga"""
"16010,""CS3"",""R1"",9,""40"",748,598.5,""12ga"""
"16212,""CS3"",""R1"",9,""41"",690,611,""12ga"""
"16610,""CS3"",""R1"",9,""42"",595,615,""12ga"""
"16710,""CS3"",""R1"",9,""43"",640,603,""12ga"""
"16910,""CS3"",""R1"",9,""44"",301,641,""12ga"""
"17410,""CS3"",""R1"",10,""45"",616,631,""12ga"""
"17510,""CS3"",""R1"",9,""46"",601,623,""12ga"""
"1849,""CS3"",""R1"",9,""47"",596,672,""12ga"""
"1899,""CS3"",""R1"",10,""48"",656,656,""12ga"""
"1969,""CS3"",""R1"",9,""49"",699,612,""12ga"""
"2009,""CS3"",""R1"",10,""50"",774,613.5,""12ga"""
"1350,""CS-"",""R1"",10,""1"",310,657.5,""13ls"""
"1939,""CS-"",""R1"",8,""2"",1467,912,""13ls"""
"2115,""CS-"",""R2"",9,""3"",613,640,""13ls"""
"2511,""CS-"",""R2"",9,""4"",650,610,""13ls"""
"2711,""CS-"",""R2"",9,""5"",662,619,""13ls"""
"3212,""CS-"",""R2"",10,""6"",656,691.5,""13ls"""
"3312,""CS-"",""R2"",10,""7"",602,610.5,""13ls"""
"3511,""CS-"",""R2"",10,""8"",587,768,""13ls"""
"3811,""CS-"",""R2"",9,""9"",865,622,""13ls"""
"4011,""CS-"",""R2"",10,""10"",750,612.5,""13ls"""
"4311,""CS-"",""R2"",10,""11"",626,688,""13ls"""
"5011,""CS-"",""R2"",10,""12"",803,924,""13ls"""
"5115,""CS-"",""R2"",9,""13"",890,615,""13ls"""
"5212,""CS-"",""R2"",10,""14"",617,602,""13ls"""
"5511,""CS-"",""R2"",10,""15"",304,815.5,""13ls"""
"5611,""CS-"",""R1"",10,""16"",323,663.5,""13ls"""
"5811,""CS-"",""R2"",10,""17"",715,752,""13ls"""
"7711,""CS-"",""R2"",9,""18"",708,617,""13ls"""
"8011,""CS-"",""R2"",9,""19"",1050,685.5,""13ls"""
"8311,""CS-"",""R2"",7,""20"",701,808,""13ls"""
"9011,""CS-"",""R2"",9,""21"",904,623,""13ls"""
"9411,""CS-"",""R1"",8,""22"",327,613,""13ls"""
"9511,""CS-"",""R2"",8,""23"",296,632.5,""13ls"""
"9911,""CS-"",""R2"",8,""24"",1123,968,""13ls"""
"10011,""CS-"",""R2"",7,""25"",1128,623,""13ls"""
"10511,""CS-"",""R2"",8,""26"",1071,623,""13ls"""
"10811,""CS-"",""R2"",6,""27"",1518,609.5,""13ls"""
"11015,""CS-"",""R2"",6,""28"",723,614,""13ls"""
"11213,""CS-"",""R2"",5,""29"",1753,624,""13ls"""
"12213,""CS-"",""R2"",7,""30"",1471,606,""13ls"""
"12911,""CS-"",""R2"",6,""31"",1594,623,""13ls"""
"13212,""CS-"",""R2"",8,""32"",864,625,""13ls"""
"13312,""CS-"",""R2"",7,""33"",701,620,""13ls"""
"14213,""CS-"",""R2"",7,""34"",701,618,""13ls"""
"14311,""CS-"",""R2"",8,""35"",1406,618,""13ls"""
"15115,""CS-"",""R2"",8,""36"",1319,616,""13ls"""
"15411,""CS-"",""R2"",7,""37"",1423,627,""13ls"""
"15511,""CS-"",""R2"",9,""38"",700,620,""13ls"""
"15610,""CS-"",""R2"",8,""39"",766,596,""13ls"""
"16011,""CS-"",""R2"",8,""40"",1302,626.5,""13ls"""
"17115,""CS-"",""R2"",8,""41"",1484,707.5,""13ls"""
"17711,""CS-"",""R2"",7,""42"",1547,664,""13ls"""
"550,""CS1"",""R2"",10,""1"",301,622,""13ls"""
"650,""CS1"",""R1"",8,""2"",308,784,""13ls"""
"850,""CS1"",""R1"",8,""3"",694,1200,""13ls"""
"960,""CS1"",""R2"",10,""4"",599,799,""13ls"""
"1550,""CS1"",""R2"",8,""5"",629,823,""13ls"""
"2213,""CS1"",""R1"",7,""6"",1894,659,""13ls"""
"2611,""CS1"",""R1"",9,""7"",683,631,""13ls"""
"2911,""CS1"",""R1"",9,""8"",666,720,""13ls"""
"3911,""CS1"",""R1"",10,""9"",323,623,""13ls"""
"4115,""CS1"",""R1"",10,""10"",309,621,""13ls"""
"4212,""CS1"",""R1"",10,""11"",326,620.5,""13ls"""
"4411,""CS1"",""R1"",9,""12"",692,1032,""13ls"""
"4511,""CS1"",""R1"",10,""13"",309,984,""13ls"""
"4611,""CS1"",""R1"",10,""14"",305,744,""13ls"""
"4911,""CS1"",""R1"",10,""15"",662,661.5,""13ls"""
"5911,""CS1"",""R1"",9,""16"",812,879.5,""13ls"""
"6115,""CS1"",""R1"",10,""17"",557,620,""13ls"""
"6213,""CS1"",""R1"",9,""18"",734,627.5,""13ls"""
"6611,""CS1"",""R1"",10,""19"",309,636.5,""13ls"""
"7311,""CS1"",""R1"",10,""20"",621,625,""13ls"""
"8411,""CS1"",""R1"",9,""21"",1080,632,""13ls"""
"8711,""CS1"",""R1"",5,""22"",1933,948,""13ls"""
"8811,""CS1"",""R2"",5,""23"",962,629,""13ls"""
"9311,""CS1"",""R1"",10,""24"",1017,631,""13ls"""
"9711,""CS1"",""R1"",7,""25"",1820,619.5,""13ls"""
"10411,""CS1"",""R1"",8,""26"",904,637,""13ls"""
"10911,""CS1"",""R1"",7,""27"",735,620,""13ls"""
"12011,""CS1"",""R1"",8,""28"",968,620.5,""13ls"""
"12311,""CS1"",""R1"",6,""29"",701,808,""13ls"""
"12411,""CS1"",""R1"",8,""30"",1244,622.5,""13ls"""
"12711,""CS1"",""R1"",6,""31"",701,629.5,""13ls"""
"13011,""CS1"",""R1"",8,""32"",839,614,""13ls"""
"13511,""CS1"",""R1"",9,""33"",1324,612.5,""13ls"""
"13811,""CS1"",""R1"",9,""34"",1034,619,""13ls"""
"14411,""CS1"",""R1"",6,""35"",1272,621,""13ls"""
"14511,""CS1"",""R1"",5,""36"",1498,721,""13ls"""
"15711,""CS1"",""R1"",8,""37"",747,603.5,""13ls"""
"15811,""CS1"",""R1"",8,""38"",1128,634,""13ls"""
"15911,""CS1"",""R1"",7,""39"",1993,670,""13ls"""
"16311,""CS1"",""R1"",9,""40"",978,615,""13ls"""
"16711,""CS1"",""R1"",7,""41"",1540,614,""13ls"""
"17011,""CS1"",""R1"",8,""42"",1019,619.5,""13ls"""
"17411,""CS1"",""R1"",7,""43"",1443,744,""13ls"""
"350,""CS2"",""R2"",7,""1"",830,606,""13ls"""
"1170,""CS2"",""R1"",8,""2"",1625,912,""13ls"""
"2014,""CS2"",""R1"",9,""3"",714,718.5,""13ls"""
"2311,""CS2"",""R1"",9,""4"",626,783,""13ls"""
"2411,""CS2"",""R1"",9,""5"",676,624,""13ls"""
"2811,""CS2"",""R1"",10,""6"",305,736,""13ls"""
"3011,""CS2"",""R2"",10,""7"",633,648,""13ls"""
"3115,""CS2"",""R2"",9,""8"",684,719,""13ls"""
"3411,""CS2"",""R1"",9,""9"",712,618,""13ls"""
"3611,""CS2"",""R1"",10,""10"",662,892,""13ls"""
"4711,""CS2"",""R1"",10,""11"",581,752,""13ls"""
"5311,""CS2"",""R1"",9,""12"",627,649,""13ls"""
"6311,""CS2"",""R1"",9,""13"",677,613,""13ls"""
"6711,""CS2"",""R1"",9,""14"",901,626.5,""13ls"""
"6811,""CS2"",""R1"",9,""15"",1152,623,""13ls"""
"6911,""CS2"",""R1"",10,""16"",308,616,""13ls"""
"7115,""CS2"",""R1"",10,""17"",603,947.5,""13ls"""
"7511,""CS2"",""R1"",10,""18"",701,754,""13ls"""
"7611,""CS2"",""R1"",10,""19"",325,625,""13ls"""
"8115,""CS2"",""R1"",9,""20"",816,1020,""13ls"""
"8511,""CS2"",""R1"",6,""21"",701,616.5,""13ls"""
"9811,""CS2"",""R1"",9,""22"",315,636,""13ls"""
"11313,""CS2"",""R1"",7,""23"",878,609,""13ls"""
"11412,""CS2"",""R1"",7,""24"",1189,603,""13ls"""
"11511,""CS2"",""R1"",5,""25"",948,617,""13ls"""
"11611,""CS2"",""R2"",5,""26"",1038,619,""13ls"""
"11711,""CS2"",""R1"",8,""27"",899,614,""13ls"""
"11911,""CS2"",""R1"",8,""28"",1227,613,""13ls"""
"12115,""CS2"",""R1"",7,""29"",704,620,""13ls"""
"12811,""CS2"",""R1"",9,""30"",1148,639,""13ls"""
"13115,""CS2"",""R1"",8,""31"",896,615.5,""13ls"""
"13611,""CS2"",""R1"",6,""32"",1266,618.5,""13ls"""
"13911,""CS2"",""R1"",8,""33"",1261,626,""13ls"""
"14011,""CS2"",""R1"",7,""34"",701,622.5,""13ls"""
"14115,""CS2"",""R1"",8,""35"",1275,652,""13ls"""
"14611,""CS2"",""R1"",7,""36"",1888,626,""13ls"""
"14811,""CS2"",""R1"",7,""37"",1897,621,""13ls"""
"15312,""CS2"",""R1"",9,""38"",587,620,""13ls"""
"16411,""CS2"",""R1"",8,""39"",1571,615,""13ls"""
"16911,""CS2"",""R1"",6,""40"",1577,620,""13ls"""
"17311,""CS2"",""R1"",6,""41"",1674,780,""13ls"""
"17611,""CS2"",""R1"",5,""42"",701,795.5,""13ls"""
"1180,""CS3"",""R1"",4,""1"",632,1477.5,""13ls"""
"460,""CS3"",""R1"",6,""2"",1293,664,""13ls"""
"750,""CS3"",""R2"",9,""3"",297,872,""13ls"""
"1050,""CS3"",""R2"",9,""4"",652,1312.5,""13ls"""
"1250,""CS3"",""R2"",8,""5"",464,800,""13ls"""
"1450,""CS3"",""R2"",7,""6"",688,728,""13ls"""
"1650,""CS3"",""R2"",7,""7"",633,723.5,""13ls"""
"1750,""CS3"",""R2"",7,""8"",313,632,""13ls"""
"1850,""CS3"",""R2"",8,""9"",678,719,""13ls"""
"3711,""CS3"",""R2"",9,""10"",881,611,""13ls"""
"4811,""CS3"",""R2"",9,""11"",613,618.5,""13ls"""
"5411,""CS3"",""R2"",9,""12"",302,624,""13ls"""
"6011,""CS3"",""R1"",9,""13"",930,752,""13ls"""
"6511,""CS3"",""R2"",7,""14"",1127,760,""13ls"""
"7011,""CS3"",""R1"",10,""15"",308,684,""13ls"""
"7212,""CS3"",""R1"",9,""16"",980,780,""13ls"""
"7411,""CS3"",""R1"",9,""17"",836,776,""13ls"""
"7811,""CS3"",""R1"",10,""18"",305,912,""13ls"""
"7911,""CS3"",""R1"",8,""19"",305,752,""13ls"""
"8213,""CS3"",""R1"",9,""20"",958,840,""13ls"""
"8911,""CS3"",""R1"",5,""21"",701,699.5,""13ls"""
"9115,""CS3"",""R1"",8,""22"",1380,617,""13ls"""
"9611,""CS3"",""R1"",6,""23"",701,608,""13ls"""
"10115,""CS3"",""R2"",7,""24"",1130,625,""13ls"""
"10213,""CS3"",""R2"",8,""25"",833,619,""13ls"""
"10611,""CS3"",""R1"",8,""26"",1293,610,""13ls"""
"10711,""CS3"",""R2"",8,""27"",301,619,""13ls"""
"11811,""CS3"",""R1"",7,""28"",1915,620,""13ls"""
"12511,""CS3"",""R2"",8,""29"",882,623,""13ls"""
"12611,""CS3"",""R1"",8,""30"",1087,633.5,""13ls"""
"13411,""CS3"",""R1"",9,""31"",1148,720,""13ls"""
"13711,""CS3"",""R1"",8,""32"",1023,686,""13ls"""
"14711,""CS3"",""R1"",7,""33"",701,613,""13ls"""
"14910,""CS3"",""R1"",5,""34"",1749,628,""13ls"""
"15011,""CS3"",""R2"",9,""35"",640,626.5,""13ls"""
"15212,""CS3"",""R1"",9,""36"",687,641,""13ls"""
"16115,""CS3"",""R1"",6,""37"",1987,626.5,""13ls"""
"16213,""CS3"",""R1"",7,""38"",1975,608.5,""13ls"""
"16511,""CS3"",""R1"",8,""39"",1765,712,""13ls"""
"16611,""CS3"",""R2"",9,""40"",759,619,""13ls"""
"16811,""CS3"",""R1"",7,""41"",1779,688,""13ls"""
"17213,""CS3"",""R1"",8,""42"",1061,760,""13ls"""
"17511,""CS3"",""R2"",9,""43"",664,696,""13ls"""
"760,""CS-"",""R2"",9,""1"",640,608.5,""14mg"""
"860,""CS-"",""R1"",8,""2"",722,590,""14mg"""
"1560,""CS-"",""R2"",7,""3"",919,596,""14mg"""
"2116,""CS-"",""R2"",10,""4"",668,608,""14mg"""
"2214,""CS-"",""R2"",7,""5"",694,602,""14mg"""
"2612,""CS-"",""R1"",9,""6"",615,617.5,""14mg"""
"3612,""CS-"",""R1"",10,""7"",418,601.5,""14mg"""
"3712,""CS-"",""R2"",9,""8"",919,614.5,""14mg"""
"3812,""CS-"",""R1"",9,""9"",568,636,""14mg"""
"3912,""CS-"",""R2"",9,""10"",591,615,""14mg"""
"4213,""CS-"",""R1"",10,""11"",598,611.5,""14mg"""
"4312,""CS-"",""R2"",10,""12"",801,610.5,""14mg"""
"4712,""CS-"",""R2"",10,""13"",553,608,""14mg"""
"5412,""CS-"",""R1"",10,""14"",653,608,""14mg"""
"5711,""CS-"",""R1"",9,""15"",859,812,""14mg"""
"5912,""CS-"",""R1"",9,""16"",1008,615.5,""14mg"""
"6410,""CS-"",""R2"",9,""17"",702,632,""14mg"""
"6712,""CS-"",""R1"",9,""18"",885,603,""14mg"""
"7116,""CS-"",""R1"",9,""19"",639,626,""14mg"""
"7812,""CS-"",""R1"",9,""20"",674,612.5,""14mg"""
"8116,""CS-"",""R2"",9,""21"",720,604,""14mg"""
"8214,""CS-"",""R1"",8,""22"",1333,716,""14mg"""
"9312,""CS-"",""R2"",9,""23"",652,605,""14mg"""
"9512,""CS-"",""R1"",9,""24"",878,604,""14mg"""
"10214,""CS-"",""R1"",9,""25"",1033,610,""14mg"""
"10311,""CS-"",""R2"",9,""26"",864,620,""14mg"""
"10412,""CS-"",""R1"",9,""27"",621,621,""14mg"""
"10912,""CS-"",""R1"",9,""28"",681,605,""14mg"""
"11712,""CS-"",""R1"",10,""29"",643,928,""14mg"""
"12012,""CS-"",""R2"",10,""30"",544,609,""14mg"""
"12512,""CS-"",""R1"",9,""31"",690,916,""14mg"""
"12612,""CS-"",""R2"",10,""32"",304,625.5,""14mg"""
"13213,""CS-"",""R1"",9,""33"",659,616,""14mg"""
"13313,""CS-"",""R1"",9,""34"",566,605,""14mg"""
"13412,""CS-"",""R2"",9,""35"",617,613,""14mg"""
"13812,""CS-"",""R1"",9,""36"",635,612,""14mg"""
"14012,""CS-"",""R2"",9,""37"",700,601,""14mg"""
"14412,""CS-"",""R2"",9,""38"",613,608,""14mg"""
"14812,""CS-"",""R1"",10,""39"",593,621.5,""14mg"""
"15412,""CS-"",""R2"",9,""40"",721,610.5,""14mg"""
"16512,""CS-"",""R1"",9,""41"",743,626,""14mg"""
"16712,""CS-"",""R1"",9,""42"",595,623.5,""14mg"""
"17012,""CS-"",""R1"",9,""43"",917,625,""14mg"""
"18115,""CS-"",""R1"",9,""44"",714,618.5,""14mg"""
"18410,""CS-"",""R2"",8,""45"",898,629,""14mg"""
"18710,""CS-"",""R2"",10,""46"",308,616.5,""14mg"""
"19410,""CS-"",""R2"",9,""47"",1037,609.5,""14mg"""
"19510,""CS-"",""R1"",10,""48"",599,609.5,""14mg"""
"19610,""CS-"",""R2"",9,""49"",812,606.5,""14mg"""
"2015,""CS-"",""R1"",9,""50"",845,622,""14mg"""
"470,""CS1"",""R2"",7,""1"",308,609.5,""14mg"""
"970,""CS1"",""R1"",9,""2"",565,600,""14mg"""
"1460,""CS1"",""R2"",8,""3"",829,605,""14mg"""
"2412,""CS1"",""R1"",9,""4"",673,618,""14mg"""
"3012,""CS1"",""R2"",9,""5"",656,600,""14mg"""
"3116,""CS1"",""R1"",10,""6"",321,608,""14mg"""
"3213,""CS1"",""R1"",9,""7"",768,604,""14mg"""
"3412,""CS1"",""R1"",9,""8"",1036,600.5,""14mg"""
"3512,""CS1"",""R2"",9,""9"",634,684,""14mg"""
"4012,""CS1"",""R2"",10,""10"",626,603,""14mg"""
"4116,""CS1"",""R2"",10,""11"",629,600,""14mg"""
"4412,""CS1"",""R2"",10,""12"",300,603,""14mg"""
"5612,""CS1"",""R1"",9,""13"",756,608,""14mg"""
"6116,""CS1"",""R1"",9,""14"",546,618,""14mg"""
"6912,""CS1"",""R1"",10,""15"",308,601,""14mg"""
"7012,""CS1"",""R2"",9,""16"",305,601.5,""14mg"""
"7412,""CS1"",""R2"",9,""17"",1018,610,""14mg"""
"7612,""CS1"",""R1"",8,""18"",651,611,""14mg"""
"7912,""CS1"",""R2"",10,""19"",588,696,""14mg"""
"8012,""CS1"",""R2"",9,""20"",619,663,""14mg"""
"8611,""CS1"",""R2"",9,""21"",637,597.5,""14mg"""
"9116,""CS1"",""R1"",9,""22"",751,615.5,""14mg"""
"9612,""CS1"",""R2"",9,""23"",1203,602,""14mg"""
"9712,""CS1"",""R2"",10,""24"",863,615,""14mg"""
"9912,""CS1"",""R1"",9,""25"",695,623,""14mg"""
"10712,""CS1"",""R2"",9,""26"",677,610.5,""14mg"""
"10812,""CS1"",""R1"",10,""27"",309,614.5,""14mg"""
"11016,""CS1"",""R2"",10,""28"",302,609.5,""14mg"""
"11115,""CS1"",""R1"",10,""29"",588,598,""14mg"""
"11912,""CS1"",""R2"",9,""30"",650,617,""14mg"""
"12412,""CS1"",""R2"",9,""31"",958,616,""14mg"""
"13116,""CS1"",""R2"",9,""32"",558,605.5,""14mg"""
"13912,""CS1"",""R1"",10,""33"",662,624,""14mg"""
"14214,""CS1"",""R2"",9,""34"",668,614,""14mg"""
"15012,""CS1"",""R1"",10,""35"",808,615,""14mg"""
"15116,""CS1"",""R1"",9,""36"",638,592,""14mg"""
"15313,""CS1"",""R1"",10,""37"",311,668.5,""14mg"""
"15512,""CS1"",""R1"",10,""38"",591,627,""14mg"""
"15712,""CS1"",""R1"",7,""39"",885,628.5,""14mg"""
"15812,""CS1"",""R1"",7,""40"",715,791,""14mg"""
"16312,""CS1"",""R2"",9,""41"",578,618,""14mg"""
"16912,""CS1"",""R1"",9,""42"",860,629,""14mg"""
"17116,""CS1"",""R2"",9,""43"",666,616,""14mg"""
"17214,""CS1"",""R1"",10,""44"",680,606.5,""14mg"""
"17612,""CS1"",""R1"",10,""45"",786,758,""14mg"""
"17712,""CS1"",""R1"",9,""46"",810,617,""14mg"""
"17911,""CS1"",""R2"",10,""47"",295,613,""14mg"""
"18213,""CS1"",""R1"",10,""48"",315,624.5,""14mg"""
"18910,""CS1"",""R2"",8,""49"",1839,612,""14mg"""
"19810,""CS1"",""R2"",10,""50"",655,607,""14mg"""
"250,""CS2"",""R2"",7,""1"",716,632,""14mg"""
"560,""CS2"",""R1"",7,""2"",656,610,""14mg"""
"660,""CS2"",""R2"",8,""3"",660,610.5,""14mg"""
"1060,""CS2"",""R2"",8,""4"",954,613,""14mg"""
"1190,""CS2"",""R2"",8,""5"",533,608,""14mg"""
"1260,""CS2"",""R1"",9,""6"",580,600,""14mg"""
"1360,""CS2"",""R1"",9,""7"",591,808,""14mg"""
"1760,""CS2"",""R1"",8,""8"",708,616,""14mg"""
"2912,""CS2"",""R2"",10,""9"",606,606,""14mg"""
"3313,""CS2"",""R2"",10,""10"",749,608,""14mg"""
"4512,""CS2"",""R1"",9,""11"",802,602,""14mg"""
"4612,""CS2"",""R1"",9,""12"",614,776,""14mg"""
"4812,""CS2"",""R2"",9,""13"",584,609.5,""14mg"""
"5012,""CS2"",""R1"",9,""14"",1332,627.5,""14mg"""
"5213,""CS2"",""R2"",10,""15"",295,607,""14mg"""
"5312,""CS2"",""R1"",9,""16"",902,614,""14mg"""
"6312,""CS2"",""R1"",9,""17"",643,605.5,""14mg"""
"6612,""CS2"",""R2"",9,""18"",703,610.5,""14mg"""
"7312,""CS2"",""R1"",9,""19"",1031,612.5,""14mg"""
"7512,""CS2"",""R2"",9,""20"",806,643,""14mg"""
"8412,""CS2"",""R1"",8,""21"",781,609,""14mg"""
"8712,""CS2"",""R1"",9,""22"",572,605,""14mg"""
"8812,""CS2"",""R2"",10,""23"",299,620,""14mg"""
"9212,""CS2"",""R2"",9,""24"",606,624,""14mg"""
"9812,""CS2"",""R2"",9,""25"",768,602,""14mg"""
"10012,""CS2"",""R2"",9,""26"",743,626.5,""14mg"""
"10116,""CS2"",""R2"",9,""27"",871,676.5,""14mg"""
"11214,""CS2"",""R2"",9,""28"",609,888,""14mg"""
"11512,""CS2"",""R1"",10,""29"",302,613,""14mg"""
"12116,""CS2"",""R1"",9,""30"",662,613.5,""14mg"""
"12214,""CS2"",""R2"",7,""31"",914,611,""14mg"""
"12812,""CS2"",""R1"",10,""32"",651,618.5,""14mg"""
"12912,""CS2"",""R1"",9,""33"",714,619,""14mg"""
"13012,""CS2"",""R2"",9,""34"",768,615.5,""14mg"""
"13612,""CS2"",""R1"",10,""35"",691,952,""14mg"""
"14612,""CS2"",""R1"",10,""36"",715,620,""14mg"""
"14911,""CS2"",""R2"",9,""37"",709,626.5,""14mg"""
"15213,""CS2"",""R2"",9,""38"",694,613,""14mg"""
"15611,""CS2"",""R2"",9,""39"",768,624,""14mg"""
"15912,""CS2"",""R2"",9,""40"",793,621.5,""14mg"""
"16214,""CS2"",""R1"",9,""41"",706,620,""14mg"""
"16812,""CS2"",""R2"",7,""42"",701,619,""14mg"""
"17512,""CS2"",""R1"",10,""43"",721,615,""14mg"""
"18011,""CS2"",""R2"",9,""44"",307,752,""14mg"""
"18510,""CS2"",""R1"",10,""45"",612,632,""14mg"""
"18610,""CS2"",""R2"",10,""46"",603,614.5,""14mg"""
"18810,""CS2"",""R1"",9,""47"",683,613,""14mg"""
"19115,""CS2"",""R2"",10,""48"",310,615,""14mg"""
"19310,""CS2"",""R1"",9,""49"",519,631,""14mg"""
"20010,""CS2"",""R2"",9,""50"",663,628,""14mg"""
"1200,""CS3"",""R1"",6,""1"",1155,1040,""14mg"""
"360,""CS3"",""R1"",7,""2"",299,612,""14mg"""
"1660,""CS3"",""R1"",9,""3"",685,624,""14mg"""
"1860,""CS3"",""R2"",10,""4"",300,607.5,""14mg"""
"1940,""CS3"",""R2"",9,""5"",587,609,""14mg"""
"2016,""CS3"",""R1"",9,""6"",730,606,""14mg"""
"2312,""CS3"",""R2"",9,""7"",1211,602,""14mg"""
"2512,""CS3"",""R1"",10,""8"",566,603,""14mg"""
"2712,""CS3"",""R1"",10,""9"",707,606,""14mg"""
"2812,""CS3"",""R2"",10,""10"",296,612.5,""14mg"""
"4912,""CS3"",""R2"",8,""11"",1429,596,""14mg"""
"5116,""CS3"",""R1"",9,""12"",810,599,""14mg"""
"5512,""CS3"",""R2"",9,""13"",789,609,""14mg"""
"5812,""CS3"",""R1"",9,""14"",605,601,""14mg"""
"6012,""CS3"",""R2"",9,""15"",299,648,""14mg"""
"6214,""CS3"",""R2"",10,""16"",601,601,""14mg"""
"6512,""CS3"",""R1"",8,""17"",1486,888.5,""14mg"""
"6812,""CS3"",""R2"",9,""18"",675,664,""14mg"""
"7213,""CS3"",""R2"",9,""19"",565,604,""14mg"""
"7712,""CS3"",""R1"",8,""20"",793,604.5,""14mg"""
"8312,""CS3"",""R2"",9,""21"",315,643,""14mg"""
"8512,""CS3"",""R1"",9,""22"",965,601,""14mg"""
"8912,""CS3"",""R2"",9,""23"",584,608.5,""14mg"""
"9012,""CS3"",""R1"",7,""24"",1963,626,""14mg"""
"9412,""CS3"",""R2"",9,""25"",621,669,""14mg"""
"10512,""CS3"",""R2"",10,""26"",676,602.5,""14mg"""
"10612,""CS3"",""R1"",9,""27"",883,603,""14mg"""
"11314,""CS3"",""R1"",9,""28"",593,607.5,""14mg"""
"11413,""CS3"",""R2"",7,""29"",1073,605,""14mg"""
"11812,""CS3"",""R1"",9,""30"",752,601.5,""14mg"""
"12312,""CS3"",""R1"",10,""31"",548,613,""14mg"""
"12712,""CS3"",""R2"",10,""32"",687,612,""14mg"""
"13512,""CS3"",""R2"",8,""33"",1449,619,""14mg"""
"13712,""CS3"",""R2"",9,""34"",629,608,""14mg"""
"14116,""CS3"",""R1"",10,""35"",439,610,""14mg"""
"14312,""CS3"",""R1"",8,""36"",1074,611,""14mg"""
"14512,""CS3"",""R2"",10,""37"",758,611.5,""14mg"""
"14712,""CS3"",""R2"",9,""38"",994,868,""14mg"""
"16012,""CS3"",""R2"",10,""39"",312,621,""14mg"""
"16116,""CS3"",""R1"",9,""40"",943,607,""14mg"""
"16412,""CS3"",""R2"",10,""41"",750,614,""14mg"""
"16612,""CS3"",""R2"",8,""42"",630,610.5,""14mg"""
"17312,""CS3"",""R2"",7,""43"",963,616.5,""14mg"""
"17412,""CS3"",""R1"",9,""44"",747,613,""14mg"""
"17811,""CS3"",""R2"",8,""45"",755,620.5,""14mg"""
"18310,""CS3"",""R2"",10,""46"",789,625,""14mg"""
"19010,""CS3"",""R1"",9,""47"",306,607.5,""14mg"""
"19212,""CS3"",""R1"",9,""48"",726,724.5,""14mg"""
"19710,""CS3"",""R1"",9,""49"",1000,603.5,""14mg"""
"19910,""CS3"",""R1"",9,""50"",1175,592,""14mg"""
"260,""CS-"",""R2"",6,""1"",884,652,""15sd"""
"670,""CS-"",""R1"",8,""2"",643,608,""15sd"""
"1570,""CS-"",""R2"",10,""3"",634,593,""15sd"""
"1670,""CS-"",""R1"",9,""4"",1216,577,""15sd"""
"1770,""CS-"",""R1"",10,""5"",707,608,""15sd"""
"2117,""CS-"",""R2"",10,""6"",816,583,""15sd"""
"2215,""CS-"",""R2"",8,""7"",1567,590,""15sd"""
"2613,""CS-"",""R2"",10,""8"",807,592.5,""15sd"""
